date,sample_count
2021-11-20,26
2021-10-05,19
2021-04-10,16
2021-09-12,13
2021-04-29,13
2021-05-23,12
2021-07-22,11
2021-07-10,10
2021-04-23,9
2021-12-31,8
2021-09-28,7
2021-07-04,6
2021-09-17,6
2021-05-08,6
2021-10-23,5
2021-07-15,4
2021-09-25,4
2021-05-27,4
2021-10-10,2
2021-01-20,2
2021-12-03,2
2021-10-22,1
2021-12-01,1
