date,cluster,sentiment_score,positive_score,negative_score,neutral_score,num_samples
2021-01-01,0,0.42863080498153355,0.4654435895365896,0.03681278455505606,0.49774363284842366,25
2021-01-01,1,0.29177584472114826,0.29669781623753017,0.004921971516381899,0.698380215934372,63
2021-01-02,0,0.26399996495992584,0.29498576226867795,0.030985797308752117,0.6740284427135481,73
2021-01-02,1,0.046266456614748305,0.08132927002502686,0.03506281341027856,0.8836079201489677,68
2021-01-03,0,0.28802444575516195,0.33815375896871996,0.05012931321355801,0.6117169168807081,71
2021-01-03,1,0.13624669453538935,0.16003431735495327,0.023787622819563918,0.8161780593746896,85
2021-01-04,0,0.4329937344897031,0.4705324817941281,0.03753874730442502,0.4919287621651149,35
2021-01-04,1,0.36805798081338587,0.4491892465242295,0.08113126571084363,0.4696794797842204,33
2021-01-05,0,0.3861610769522519,0.4195920715843127,0.033430994632060826,0.5469769278009161,31
2021-01-05,1,0.19644482148909212,0.2581028142475099,0.06165799275841779,0.6802391902540781,170
2021-01-06,0,0.35658409590680906,0.37005373768844196,0.013469641781632902,0.6164766131857692,17
2021-01-06,1,0.17109411735908894,0.20253128866491193,0.031437171305822985,0.7660315316562836,42
2021-01-07,0,0.27302657194134783,0.33725649604133423,0.0642299240999864,0.598513578454987,71
2021-01-07,1,0.2585209655886768,0.2895391572592868,0.03101819167061,0.6794426502159522,256
2021-01-08,0,0.35862778736817374,0.3862787979276845,0.027651010559510737,0.5860701874168464,49
2021-01-08,1,0.23203710769467306,0.26583044511750115,0.03379333742282809,0.7003762202208671,179
2021-01-09,0,0.3465612854253681,0.35737095498523463,0.010809669559866529,0.6318193862376955,22
2021-01-09,1,0.08284615621040274,0.17003044617880061,0.08718428996839787,0.7427852583449132,46
2021-01-10,0,0.4340229686325387,0.4701048645429177,0.036081895910379025,0.4938132223555057,41
2021-01-10,1,0.1324266042696351,0.17028114916092163,0.037854544891286535,0.7918643150094169,39
2021-01-11,0,0.5220220563963412,0.5232655893979796,0.0012435330016383472,0.4754908643427864,32
2021-01-11,1,0.3173116750077133,0.3231284305846566,0.005816755576943357,0.6710548192234828,84
2021-01-12,0,-0.02095475625159534,0.05441930095273826,0.0753740572043336,0.8702066418799487,11
2021-01-12,1,0.07922184214689917,0.15671416557127618,0.07749232342437701,0.7657935086249008,66
2021-01-13,0,0.22007791154744888,0.3076265314062939,0.08754861985884506,0.6048248580985328,42
2021-01-13,1,0.20158183806886118,0.25664661514793125,0.05506477707907006,0.6882886076607334,192
2021-01-14,0,0.3803543644363451,0.38259523033973336,0.002240865903388258,0.6151639080922748,23
2021-01-14,1,0.27591752012637316,0.30442959353198945,0.028512073405616303,0.667058330622698,120
2021-01-15,0,0.19196716087615162,0.20131777905954978,0.009350618183398166,0.7893315897874582,17
2021-01-15,1,0.18377378602293395,0.2453606271065037,0.06158684108356974,0.6930525280651112,104
2021-01-16,0,0.27312257777265964,0.3075329767029362,0.034410398930276566,0.6580566329521711,71
2021-01-16,1,0.09721132050491349,0.1378869097363915,0.040675589231478015,0.8214374992952604,128
2021-01-17,0,0.2943145269580608,0.34214743578798273,0.04783290882992194,0.6100196667221294,43
2021-01-17,1,0.15955755324143678,0.18390087362521676,0.024343320383779968,0.7917558001989605,68
2021-01-18,0,0.23190340562528036,0.23258168217355432,0.0006782765482739705,0.7667400337177241,10
2021-01-18,1,0.1448902600212354,0.25447097380637584,0.10958071378514045,0.6359482994115344,40
2021-01-19,0,0.2704458948045726,0.3694298502627248,0.0989839554581522,0.5315861995959494,20
2021-01-19,1,0.3018703949029965,0.3253265330743842,0.023456138171387687,0.6512173295611956,128
2021-01-21,0,0.3156209863181907,0.32063959034095435,0.005018604022763639,0.674341805664335,20
2021-01-21,1,0.1469185272752499,0.20533246818266862,0.05841394090741871,0.7362535779972808,87
2021-01-22,0,0.5227702685872556,0.5968424501923104,0.07407218160505481,0.32908537594649395,14
2021-01-22,1,0.1395245398912573,0.2015977525878869,0.062073212696629604,0.7363290324977944,145
2021-01-23,0,0.3726566191232181,0.4006264086562095,0.027969789532991417,0.5714038086960395,37
2021-01-23,1,0.09127663857241242,0.1599439131740077,0.06866727460159527,0.7713888140073505,48
2021-01-24,0,0.3655858676066141,0.4316634646037341,0.06607759699712,0.5022589310600027,28
2021-01-24,1,0.07593635168282731,0.1264665574508342,0.05053020576800691,0.8230032259410058,45
2021-01-25,0,0.25504460219499947,0.28632800067316566,0.03128339847816619,0.6823886058264179,8
2021-01-25,1,0.13061133836760314,0.22864918685541966,0.09803784848781653,0.6733129521550002,50
2021-01-26,0,0.18031009180670124,0.2558871402774378,0.07557704847073657,0.6685358135272628,23
2021-01-26,1,0.1750368955196923,0.2526042555430483,0.07756736002335599,0.6698283788837183,183
2021-01-27,0,0.3405481902751402,0.3594136996442875,0.018865509369147285,0.6217207926253621,38
2021-01-27,1,0.17516104008238575,0.22951265204019627,0.05435161195781053,0.7161357346261182,229
2021-01-28,0,0.33308492430547176,0.337937541152844,0.004852616847372247,0.6572098471343634,25
2021-01-28,1,0.14790874506677104,0.2532604703095442,0.10535172524277316,0.6413878035035059,142
2021-01-29,0,0.3365399548650244,0.35754433054131846,0.021004375676294037,0.6214512863671738,46
2021-01-29,1,0.22116236588980603,0.28329948640879254,0.062137120518986504,0.6545633916421051,201
2021-01-30,0,0.4363586519694087,0.4622972224715178,0.025938570502109043,0.511764217614405,91
2021-01-30,1,0.08356580494147026,0.12576960333309042,0.042203798391620174,0.8320265954548869,141
