V,date,cluster,sentiment_score,positive_score,negative_score,neutral_score,num_samples
,2021/1/1,1,0.42846923076923077,0.1955,0.029576923076923077,0.7749615384615385,26
,2021/1/2,1,0.40345692307692305,0.20999999999999996,0.03909230769230769,0.7509692307692307,65
,2021/1/3,1,0.4033753623188406,0.2083913043478261,0.03589855072463768,0.7557101449275364,69
,2021/1/4,1,0.4617903225806451,0.22887096774193547,0.03783870967741935,0.7333870967741936,31
,2021/1/5,1,0.43956666666666666,0.2173333333333333,0.026444444444444444,0.75625,36
,2021/1/6,1,0.3907764705882352,0.2091176470588235,0.03188235294117647,0.759,17
,2021/1/7,1,0.34696666666666665,0.18461111111111114,0.03870833333333333,0.7766666666666667,72
,2021/1/8,1,0.4272642857142857,0.2112619047619048,0.01733333333333333,0.771452380952381,42
,2021/1/9,1,0.31856666666666666,0.18523809523809526,0.04080952380952381,0.774047619047619,21
,2021/1/10,1,0.33937179487179486,0.1828974358974359,0.04120512820512821,0.7759230769230769,39
,2021/1/11,1,0.452446875,0.2134375,0.01775,0.7688125,32
,2021/1/12,1,0.2272909090909091,0.17863636363636362,0.058363636363636354,0.7629090909090909,11
,2021/1/13,1,0.4359047619047619,0.2343333333333334,0.031380952380952384,0.7342857142857143,42
,2021/1/14,1,0.3600103448275862,0.2038620689655172,0.04224137931034483,0.7539655172413795,29
,2021/1/15,1,0.4179941176470588,0.23070588235294118,0.04535294117647058,0.7240588235294119,17
,2021/1/16,1,0.32295076923076926,0.18773846153846158,0.05676923076923077,0.7555076923076923,65
,2021/1/17,1,0.43565937499999996,0.21914062499999998,0.034703125,0.746234375,64
,2021/1/18,1,0.5412055555555556,0.2691666666666667,0.020333333333333335,0.7104999999999999,18
,2021/1/19,1,0.46674736842105274,0.24394736842105266,0.02231578947368421,0.7337368421052632,19
,2021/1/21,1,0.3942714285714286,0.21152380952380953,0.04576190476190476,0.7428095238095238,21
,2021/1/22,1,0.3741764705882353,0.23,0.047999999999999994,0.7221176470588235,17
,2021/1/23,1,0.3779783783783784,0.20786486486486486,0.040432432432432434,0.7516756756756757,37
,2021/1/24,1,0.508862962962963,0.25125925925925924,0.046592592592592595,0.7022222222222223,27
,2021/1/25,1,0.3313538461538461,0.1777692307692308,0.030307692307692306,0.7919230769230771,13
,2021/1/26,1,0.418795,0.21635,0.039900000000000005,0.7437499999999999,20
,2021/1/27,1,0.3686314285714285,0.20825714285714284,0.04654285714285714,0.745257142857143,35
,2021/1/28,1,0.4267454545454546,0.21431818181818182,0.027863636363636368,0.7578181818181818,22
,2021/1/29,1,0.4101162790697674,0.22532558139534883,0.03669767441860465,0.737953488372093,43
,2021/1/30,1,0.4441035294117647,0.2307058823529412,0.03887058823529411,0.7305176470588235,85
,2021/1/31,1,0.4447583333333334,0.2424,0.03953333333333334,0.7180500000000001,60
,2021/2/1,1,0.5082518518518517,0.25988888888888895,0.042111111111111106,0.698037037037037,27
,2021/2/2,1,0.38698163265306124,0.20255102040816328,0.03606122448979592,0.7613265306122451,49
,2021/2/3,1,0.3515979591836735,0.19871428571428568,0.036959183673469384,0.7643265306122449,49
,2021/2/4,1,0.4430264150943396,0.23092452830188678,0.029735849056603775,0.7393396226415093,53
,2021/2/5,1,0.3395522727272727,0.19197727272727266,0.03584090909090909,0.7722499999999998,44
,2021/2/6,1,0.34305740740740737,0.22455555555555562,0.05601851851851853,0.7195,54
,2021/2/7,1,0.4842432989690722,0.24781443298969072,0.030164948453608245,0.7220412371134021,97
,2021/2/8,1,0.39648780487804874,0.2249024390243902,0.049829268292682916,0.7253170731707317,41
,2021/2/9,1,0.4114000000000001,0.2314,0.035199999999999995,0.7333999999999999,40
,2021/2/10,1,0.4496685714285714,0.26057142857142856,0.03765714285714286,0.7018571428571428,35
,2021/2/11,1,0.40804799999999997,0.23757999999999999,0.05732,0.70524,50
,2021/2/12,1,0.3469065217391304,0.1952826086956522,0.03839130434782609,0.7663695652173913,46
,2021/2/13,1,0.4678947368421052,0.2525526315789474,0.04730263157894736,0.7001842105263159,76
,2021/2/14,1,0.43462258064516124,0.23325806451612904,0.04212903225806451,0.7246774193548385,31
,2021/2/15,1,0.3095,0.1779058823529412,0.048435294117647056,0.7736823529411765,85
,2021/2/16,1,0.44886060606060607,0.245969696969697,0.03778787878787879,0.7162424242424243,33
,2021/2/17,1,0.4386333333333333,0.2565952380952381,0.04254761904761904,0.700857142857143,42
,2021/2/18,1,0.34894067796610173,0.19154237288135592,0.03842372881355933,0.7701016949152544,59
,2021/2/19,1,0.3862666666666666,0.24316666666666675,0.05553333333333334,0.7012666666666667,30
,2021/2/20,1,0.28342608695652166,0.1854130434782609,0.06695652173913044,0.7476956521739131,46
,2021/2/21,1,0.49863125,0.26693750000000005,0.039625,0.6934375,16
,2021/2/22,1,0.35807999999999995,0.20896666666666666,0.054533333333333336,0.7364999999999998,30
,2021/2/23,1,0.4315882352941177,0.22888235294117648,0.03476470588235295,0.7362941176470589,17
,2021/2/24,1,0.46441891891891895,0.22737837837837835,0.03921621621621622,0.7334864864864865,37
,2021/2/25,1,0.441325,0.23965625000000002,0.0385,0.721875,32
,2021/2/26,1,0.47601190476190475,0.22761904761904764,0.023880952380952385,0.7485714285714286,42
,2021/2/27,1,0.4570391304347826,0.24146376811594206,0.036594202898550726,0.7219565217391305,69
,2021/2/28,1,0.3861789473684211,0.2031929824561404,0.042,0.754842105263158,57
,2021/3/1,1,0.54835,0.29871875000000003,0.052500000000000005,0.6489062499999999,32
,2021/3/2,1,0.3745636363636363,0.17731818181818182,0.017727272727272727,0.8050000000000002,22
,2021/3/3,1,0.39923888888888887,0.2306666666666667,0.06705555555555556,0.7023888888888888,18
,2021/3/4,1,0.4179866666666666,0.24008888888888885,0.04926666666666667,0.7106222222222224,45
