V,Date,cluster,sentiment_score,positive_score,negative_score,neutral_score,num_samples
,2021/1/1,0,0.26752222222222216,0.1435079365079365,0.01676190476190476,0.8397460317460316,63
,2021/1/2,0,0.1795644736842105,0.1208026315789474,0.03194736842105263,0.8472631578947368,76
,2021/1/3,0,0.15668045977011488,0.112632183908046,0.03808045977011494,0.8492873563218393,87
,2021/1/4,0,0.26756315789473684,0.1453157894736842,0.02992105263157895,0.8247368421052631,38
,2021/1/5,0,0.20885326633165832,0.13240703517587943,0.03259296482412061,0.8350050251256281,199
,2021/1/6,0,0.28443999999999997,0.15006666666666665,0.016,0.8339333333333332,45
,2021/1/7,0,0.22732841726618705,0.14260791366906472,0.04254676258992805,0.8148489208633093,278
,2021/1/8,0,0.2150958115183246,0.12621989528795813,0.03214659685863874,0.8416544502617801,191
,2021/1/9,0,0.1850531914893617,0.13359574468085106,0.051765957446808515,0.8146170212765957,47
,2021/1/10,0,0.22593658536585362,0.12921951219512193,0.02421951219512195,0.8465365853658537,41
,2021/1/11,0,0.23752235294117652,0.1459176470588235,0.03724705882352941,0.8168235294117648,85
,2021/1/12,0,0.2070234567901235,0.1285679012345679,0.03255555555555555,0.8388765432098765,81
,2021/1/13,0,0.2646461165048543,0.1496893203883495,0.0300631067961165,0.8202572815533979,206
,2021/1/14,0,0.19248354430379747,0.1329240506329114,0.04344303797468354,0.8236392405063291,158
,2021/1/15,0,0.22065849056603776,0.141,0.033962264150943396,0.8250188679245282,106
,2021/1/16,0,0.2184268656716418,0.13677611940298506,0.035432835820895514,0.827776119402985,134
,2021/1/17,0,0.24687403846153846,0.1457403846153846,0.03389423076923077,0.8203750000000001,104
,2021/1/18,0,0.2214283333333333,0.12911666666666666,0.026533333333333332,0.8443333333333334,60
,2021/1/19,0,0.2142860465116279,0.1394961240310077,0.04353488372093023,0.8169767441860464,129
,2021/1/21,0,0.1780379310344827,0.128,0.04235632183908046,0.8295977011494254,87
,2021/1/22,0,0.16231020408163266,0.11304761904761904,0.03980952380952381,0.8471360544217688,147
,2021/1/23,0,0.07853461538461538,0.09294230769230769,0.05496153846153846,0.8520961538461538,52
,2021/1/24,0,0.1839913043478261,0.1297608695652174,0.041586956521739125,0.8286304347826084,46
,2021/1/25,0,0.26393972602739724,0.14578082191780822,0.024506849315068493,0.8297123287671232,73
,2021/1/26,0,0.24252673796791446,0.14917647058823527,0.03820855614973262,0.8126310160427808,187
,2021/1/27,0,0.2149115879828326,0.1342832618025751,0.035004291845493564,0.8307081545064376,233
,2021/1/28,0,0.2851779310344827,0.1609103448275862,0.030310344827586204,0.8088,145
,2021/1/29,0,0.23047499999999999,0.142828431372549,0.03661274509803921,0.8205343137254902,204
,2021/1/30,0,0.1588918367346939,0.11804761904761904,0.037013605442176876,0.8449455782312925,147
,2021/1/31,0,0.17348709677419355,0.12104301075268818,0.04408602150537634,0.8348494623655914,93
,2021/2/1,0,0.20258258706467663,0.13634328358208955,0.041313432835820896,0.8223631840796018,201
,2021/2/2,0,0.24129473684210526,0.1408233082706767,0.03280451127819549,0.8263721804511279,266
,2021/2/3,0,0.25963991935483877,0.14900403225806452,0.03167741935483871,0.8192943548387097,248
,2021/2/4,0,0.23840583333333334,0.1472041666666667,0.03969166666666667,0.8130666666666667,240
,2021/2/5,0,0.2217479338842975,0.13596280991735538,0.03497520661157025,0.8290578512396695,242
,2021/2/6,0,0.1914493150684932,0.12605479452054794,0.037479452054794526,0.8364931506849316,73
,2021/2/7,0,0.21120606060606062,0.134989898989899,0.03472727272727273,0.8303030303030304,99
,2021/2/8,0,0.23334797687861272,0.13339306358381503,0.026832369942196534,0.8397687861271677,173
,2021/2/9,0,0.26797061855670107,0.15353608247422681,0.028592783505154637,0.8178917525773197,194
,2021/2/10,0,0.19190388349514564,0.12100970873786408,0.034577669902912625,0.8444417475728156,206
,2021/2/11,0,0.20781762295081965,0.13174590163934422,0.03980327868852458,0.8284549180327868,244
,2021/2/12,0,0.22011447963800904,0.1332126696832579,0.032606334841628955,0.8341900452488688,221
,2021/2/13,0,0.14440851063829788,0.1047127659574468,0.03340425531914893,0.861872340425532,94
,2021/2/14,0,0.2503347826086956,0.13821739130434782,0.024434782608695648,0.8373695652173913,46
,2021/2/15,0,0.26092367491166074,0.15506713780918727,0.02897173144876325,0.8159434628975264,283
,2021/2/16,0,0.21237349397590366,0.13082530120481928,0.030566265060240964,0.8385963855421689,166
,2021/2/17,0,0.23385485436893202,0.13590291262135923,0.03096116504854369,0.8331067961165048,206
,2021/2/18,0,0.21684470198675496,0.14098675496688742,0.0423841059602649,0.8166357615894041,302
,2021/2/19,0,0.23912430939226512,0.1499889502762431,0.03699447513812154,0.8130276243093923,181
,2021/2/20,0,0.1973597402597402,0.14992207792207796,0.05146753246753246,0.7985844155844155,77
,2021/2/21,0,0.15723333333333336,0.0966190476190476,0.03383333333333334,0.8695476190476191,42
,2021/2/22,0,0.2332674846625767,0.14194478527607365,0.03904907975460123,0.819,163
,2021/2/23,0,0.2501392307692307,0.15685384615384615,0.0440076923076923,0.7991615384615386,130
,2021/2/24,0,0.2217427906976744,0.1361813953488372,0.03777209302325581,0.8260372093023256,215
,2021/2/25,0,0.2090765765765766,0.13514864864864867,0.04020720720720722,0.8246261261261262,222
,2021/2/26,0,0.18331666666666666,0.13048290598290596,0.05041452991452991,0.8191068376068376,234
,2021/2/27,0,0.2100023529411765,0.1415764705882353,0.04127058823529412,0.8171411764705884,85
,2021/2/28,0,0.2014649484536082,0.1382061855670103,0.03939175257731958,0.8224226804123712,97
