,date,cluster_0,cluster_1,lagged_cluster_0,lagged_cluster_1,S&P500,NASDAQ,SPY,QQQ,XLK,XLF,XLE,VIX,SP500_ret,NASDAQ_ret,SPY_ret,QQQ_ret,XLK_ret,XLF_ret,XLE_ret,VIX_ret
1,2021-01-05,0.0373974649943353,0.3173286228422274,-0.0655443180813668,0.489640870553518,304.1726379394531,350.6982727050781,33.927574157714844,27.16432762145996,124.57218170166016,3726.860107421875,12818.9599609375,25.34000015258789,0.00824439276897726,0.006887363834899851,0.044784272301682915,0.004470203229526293,0.006489383670362336,0.007082595157549276,0.009490116019786887,-0.06043749359531825
2,2021-01-06,0.1223679727164597,0.2409557534828693,0.0373974649943353,0.3173286228422274,299.9590759277344,352.7949523925781,34.962669372558594,28.363988876342773,122.42389678955078,3748.139892578125,12740.7900390625,25.06999969482422,-0.013852534666702887,0.005978585726492014,0.030508966247690728,0.04416311243187465,-0.0172453021434138,0.005709842747752214,-0.006097992513683037,-0.010655108766291721
3,2021-01-07,0.0601873762623788,0.3489324411558265,0.1223679727164597,0.2409557534828693,307.2157287597656,358.0365905761719,35.47595977783203,28.773176193237305,125.72376251220705,3803.7900390625,13067.48046875,22.3700008392334,0.02419214291011995,0.014857463657135916,0.01468109885443436,0.014426296621340873,0.026954424823846246,0.014847403800101189,0.025641300789502663,-0.10769840001825937
4,2021-01-08,0.0830800550453365,0.3383977625124849,0.0601873762623788,0.3489324411558265,311.16583251953125,360.0765686035156,35.43317794799805,28.75457763671875,126.53662109375,3824.679931640625,13201.98046875,21.559999465942383,0.01285775235438713,0.00569768029591855,-0.0012059386159501972,-0.000646385244147174,0.006465433147246458,0.005491862685268911,0.010292726308001487,-0.03620926879315989
5,2021-01-11,0.1103180374264082,0.458806058354287,0.0979341821465725,0.3826026162886616,306.66949462890625,357.6493835449219,35.989227294921875,28.84757232666016,125.49149322509766,3799.610107421875,13036.4296875,24.07999992370605,-0.014449973039192154,-0.006740747025020588,0.015692900810079458,0.00323408297337191,-0.00825948930529774,-0.006554750898592476,-0.012539844430301206,0.11688314101048247
6,2021-01-12,-0.0427366467058822,0.1435520288797183,0.1103180374264082,0.458806058354287,306.18182373046875,357.72491455078125,37.24676132202149,29.145158767700195,124.89151763916016,3801.18994140625,13072.4296875,23.32999992370605,-0.0015902165261909573,0.00021118729497238142,0.03494195684709944,0.010315822685883935,-0.0047810060309132485,0.0004157884466327033,0.002761492284541589,-0.03114617950067544
7,2021-01-13,-0.005433710872769,0.3120949587434916,-0.0427366467058822,0.1435520288797183,308.24957275390625,358.688232421875,36.95590972900391,29.126558303833008,125.68504333496094,3809.840087890625,13128.9501953125,22.209999084472656,0.006753336949412603,0.0026929012543155384,-0.007808775385945266,-0.0006382008077375767,0.006353719698510396,0.0022756417379066196,0.004323642135673156,-0.048006894251865884
8,2021-01-14,0.0310871634777622,0.35604433225005,-0.005433710872769,0.3120949587434916,306.6012268066406,357.4320983886719,38.0508918762207,29.256759643554688,124.58187103271484,3795.5400390625,13112.6396484375,23.25,-0.005347439519669983,-0.0035020218665152703,0.02962941936069896,0.004470193091936414,-0.008777275903116388,-0.0037534511943366766,-0.001242334431341141,0.046825797316417894
9,2021-01-15,-0.0237270108629662,0.2453824763121295,0.0310871634777622,0.35604433225005,304.1726379394531,354.82550048828125,36.57093811035156,28.773176193237305,123.3044891357422,3768.25,12998.5,24.34000015258789,-0.007921001792726368,-0.00729256804898426,-0.038894062475156144,-0.016528947710171882,-0.010253352966879126,-0.007190027975370938,-0.008704551600417165,0.046881726993027506
10,2021-01-19,-0.0386053379609318,0.3826035588343743,0.061940780176144,0.3026856534016193,308.6103820800781,357.6115417480469,37.30664443969727,28.84757232666016,124.9108657836914,3798.909912109375,13197.1796875,23.239999771118164,0.014589557333912317,0.007851863115620805,0.020117239736255677,0.0025856072657122198,0.01302772234172922,0.008136379515524483,0.015284816517290523,-0.04519311317065755
11,2021-01-21,-0.0576357565745804,0.2535687714328649,-0.0386053379609318,0.3826035588343743,318.3150939941406,362.8909912109375,36.17742919921875,28.419782638549805,129.0332794189453,3853.070068359375,13530.91015625,21.31999969482422,0.03144648552861806,0.014763084650691205,-0.030268475158729324,-0.014829313304641656,0.03300284254207875,0.014256762466875017,0.0252880143070342,-0.08261618309824825
12,2021-01-22,-0.0171966755542499,0.260329075862637,-0.0576357565745804,0.2535687714328649,317.3983154296875,361.60650634765625,35.989227294921875,28.21519660949707,128.539794921875,3841.469970703125,13543.0595703125,21.90999984741211,-0.002880097682298355,-0.0035395887315775587,-0.005202191213214746,-0.007198718992847741,-0.003824474579678494,-0.0030106116552376383,0.0008979007267215788,0.02767355351938039
13,2021-01-25,-0.0009783219710671,0.1974655105896208,0.1581767176054074,0.216794502072998,320.0220031738281,363.03265380859375,35.62138366699219,28.01060104370117,129.61392211914062,3855.360107421875,13635.990234375,23.190000534057617,0.008266230841801114,0.00394392090823259,-0.01022093708529248,-0.007251254301982701,0.00835637864459371,0.0036158389430824833,0.006861866299858299,0.05842084416064908
14,2021-01-26,0.0220643261775005,0.2375901287317384,-0.0009783219710671,0.1974655105896208,320.4902038574219,362.4659423828125,34.86002349853516,27.78740882873535,129.70101928710938,3849.6201171875,13626.0595703125,23.020000457763672,0.0014630265386452734,-0.001561048076077598,-0.021373683166679536,-0.007968133729711835,0.000671973863183295,-0.0014888337468982327,-0.0007282686399603389,-0.007330749132337333
