"title","date","body"
"exclusive, netflix, poaches, cfo, activision, blizzard, source","January 1, 2019","netflix, incis, expect, announce, next, day, poach, medium, finance, veteran, spencer, neumann, activision, blizzardto, chief, financial, officer, source, familiar, matter, tell, start, netflix, early, source, activision, blizzard, regulatory, filing, intend, fire, neumann, serve, variety, finance, role, include, walt, disney, replace, david, well, plan, step, year, stream, medium, giantthe, source, netflix, make, films, series, would, like, next, cfo, base, los, angeles, focus, production, finance, well, base, northern, regulatory, filing, intend, terminate, neumann, cause, unrelated, company, financial, reporting, disclosure, control, procedure, neumann, place, pay, kenneth, li, york, edit, leslie, adlerour"
"neighbour, fear, refugee, crisis, pull","January 2, 2019","kabul, neighbour, catch, offguard, report, plan, withdraw, troop, begin, prepare, risk, pullout, could, send, refugee, flee, border, diplomat, sayalarmed, possibly, chaotic, withdrawal, diplomat, country, talk, official, kabul, policy, would, ramp, border, point, clarity, withdrawal, keep, clear, action, plan, ready, senior, asian, diplomat, base, kabul, situation, turn, bad, bad, quicklya, white, house, spokesman, last, president, issue, order, pentagon, withdraw, troop, deny, report, united, state, plan, pull, almost, half, strong, force, currently, report, come, amid, move, towards, peace, special, envoy, zalmay, khalilzad, meet, taliban, last, discussed, issue, future, troop, withdrawal, well, proposal, even, regional, power, iran, pakistan, long, suspicious, united, state, want, permanent, military, base, south, asia, appetite, sudden, withdrawal, potential, drawdown, reason, cautious, optimism, region, dont, want, abrupt, withdrawal, graeme, smith, consultant, crisis, groupall, side, recognise, pullout, could, spark, civil, war, region, neighbour, enjoy, surprise, uncertain, signal, washington, cause, anxietythe, united, state, send, troop, wake, sept, attack, york, washington, peak, deployment, troop, country, withdraw, force, still, keep, troops, part, natoled, mission, aid, afghan, security, force, hunt, top, general, go, yearthe, policy, review, go, multiple, capital, peace, talk, regional, player, press, peace, taliban, talk, peace, afghan, government, talk, peace, general, scott, miller, commander, natoled, force, resolute, support, mission, already, work, fence, km, mile, frontier, deploy, strong, force, border, prepare, fresh, influx, refugee, event, set, border, manage, fresh, wave, afghan, refugees, illegal, migrant, afghan, allow, set, illegal, home, pakistan, official, speaking, condition, share, border, pakistan, iran, uzbekistan, tajikistan, already, worlds, second, big, source, refugee, accord, united, nation, high, migration, iom, estimate, afghan, live, pakistan, possibly, iranwhile, afghan, drive, iran, recent, political, economic, turbulence, iranian, official, kabul, fear, sudden, troop, withdrawal, could, reverse, trendwe, work, closely, afghan, government, stop, afghan, enter, country, dont, want, use, violence, stop, sudden, pullout, lead, crisis, iranian, share, land, border, turkey, afghan, enter, turkey, iran, work, shepherd, farmer, sector, many, use, transit, point, try, enter, europewe, close, door, number, illegal, migrant, increase, daily, basis, mehmet, ozgur, sak, second, secretary, turkish, embassy, kabulin, turkish, police, afghan, try, enter, country, fake, document, help, double, number, future, country, gather, momentum, taliban, try, reassure, afghan, nothing, fear, foreign, force, leavebut, afghan, refuse, taliban, stance, rafi, sadat, student, western, herat, province, taliban, would, impose, harsh, law, destroy, troop, withdraw, hope, future, leave, country, reporting, storay, karimi, herat, edit, alex"
"strategic, command, apologise, tweet, drop, bomb","January 1, 2019","washington, strategic, command, oversees, countrys, nuclear, arsenal, apologise, twitter, message, ready, necessary, drop, something, much, much, big, year, eve, ball, york, show, clip, aircraft, release, tradition, ring, newyear, drop, big, ballif, ever, need, ready, drop, something, much, much, big, tweet, hour, midnight, descent, ball, yorks, time, square, mark, arrival, yearthe, video, show, bomber, drop, bomb, follow, explosion, groundthe, message, touch, many, critical, comment, social, medium, mary, use, handle, maryfshort, write, twitter, usstratcom, joke, nuclear, war, message, delete, strategic, command, twitter, feed, message, previous, nye, tweet, poor, taste, reflect, value, apologise, dedicate, security, mohammad, zargham, edit, peter, cooneyour"
"activision, blizzard, plan, terminate, cfo, neumann","January 1, 2019","activision, blizzard, incon, intend, terminate, chief, financial, officer, spencer, neumann, reason, unrelated, video, game, publisher, financial, reporting, disclosure, control, place, pay, leave, absence, company, activision, blizzard, add, neumann, get, employment, company, elaborate, reason, plan, respond, request, respond, request, comment, corporate, officer, dennis, durkin, assume, duty, cfo, effective, issue, resolve, activision, regulatory, neumann, ultimately, cease, cfo, durkin, take, role, company, saiddurkin, join, activision, serve, cfo, take, role, chief, corporate, munsif, vengattil, bengaluru, edit, shailesh, kuberour"
"spur, arsenal, bounce, back, win","January 1, 2019","manchester, england, tottenham, hotspur, arsenal, bounce, back, defeat, enjoy, win, year, spurs, cruise, victory, cardiff, gunner, beat, fulham, vardy, target, leicester, city, pick, impressive, away, win, everton, point, prove, title, undermined, poor, home, loss, wolf, deliver, composed, display, south, wale, move, back, second, place, premier, side, take, minute, get, front, harry, kane, launch, attack, surge, deep, kieran, trippier, cross, england, forward, simple, tapin, ball, ricochet, cardiff, defender, sean, eriksen, make, minute, later, wellplaced, shot, edge, box, cardiff, defender, give, far, much, roomspurs, firm, control, th, minute, south, korean, winger, son, heungmin, produce, clinical, finish, shot, turn, well, setup, kane, son, score, goal, last, startswe, know, felt, lose, home, bounce, back, impressive, eriksenwe, lucky, first, goal, afterwards, ball, rest, game, move, manchester, city, second, place, point, leader, liverpool, face, city, nightcity, could, reclaim, second, place, however, avoid, defeat, etihad, thrash, liverpool, survive, early, scare, fulhams, ryan, sessegnon, miss, good, chance, gunner, get, ahead, th, minute, rare, closerange, goal, longrange, specialist, granit, lacazette, make, th, minute, aboubakar, kamara, pull, back, claudio, ranieris, fulham, th, minutebut, aaron, ramsey, add, third, arsenal, finding, target, effort, come, wrapped, point, diagonal, shot, take, slight, win, second, game, arsenal, xhaka, note, muchneeded, torment, saturdays, losswe, need, win, arsenal, manager, unai, emerywe, first, team, table, want, continue, close, maybe, future, top, take, remain, deep, relegation, trouble, th, place, team, league, point, gamesjamie, vardys, thminute, strike, give, leicester, city, win, goodison, park, condemn, fourth, defeat, premier, league, gamesafter, poor, first, half, game, decide, mistake, everton, defender, michael, keane, ball, let, go, leicester, fullback, ricardo, pereira, send, vardy, throughthe, former, england, striker, make, mistake, angled, shot, jordan, simon, evans, edit, hugh, lawsonour"
"dubai, budget, slow, spending, growth, see, small, revenue, rise","January 1, 2019","dubai, dubai, expect, slow, growth, state, spending, continue, spend, heavily, prepare, host, expo, world, fair, statement, emirates, ruler, sheikh, mohammed, bin, rashid, almaktoum, spending, total, dirham, dubai, budget, plan, would, marginal, increase, last, year, original, budget, plan, dirham, percent, rise, meanwhile, state, revenue, project, reach, dirham, percent, last, year, budget, plan, statement, saidsign, tuqa, khalid, edit, andrew, torchiaour, topicsus, license"
"indian, share, start, positive, note","January 1, 2019","summarynse, index, pct, bse, index, pct, higherhdfc, bank, hdfc, lead, gainsjan, indian, share, close, high, claw, back, loss, first, hour, buy, trend, witnessed, financial, stock, market, benchmark, bse, index, close, percent, broader, nse, index, end, percent, high, hdfc, bank, housing, finance, corp, top, boost, indexesfor, midday, report, clicksign, tanvi, mehta, bengaluru, edit, subhranshu, sahuour"
"eu, denounce, bangladesh, election, violence","January 1, 2019","dhaka, western, power, condemn, election, violence, bangladesh, describe, range, marred, vote, prime, minister, sheikh, hasinas, alliance, secure, percent, seatsthe, strongly, word, election, united, state, european, union, could, hurt, image, hasina, power, also, rule, police, least, people, kill, election, clash, supporter, opponent, hasinas, awami, league, side, competed, power, often, violently, decade, trade, blame, election, opponent, reject, election, result, cite, describe, widespread, rigging, voter, deny, call, peaceful, vote, saw, capital, dhaka, quiet, main, opposition, bangladesh, party, bnp, worker, attack, several, area, elsewhere, country, awami, league, activist, league, joint, general, secretary, mahbubul, alam, hanif, false, heard, mar, election, obstacle, level, play, field, remain, place, process, taint, electoral, campaign, vote, eu, statement, call, proper, united, state, large, foreign, investor, express, concern, credible, report, harassment, violence, period, make, difficult, many, opposition, candidate, supporter, meet, hold, rally, campaign, freelywe, also, concern, prevented, people, vote, undermined, faith, electoral, process, bnp, secretary, general, mirza, fakhrul, islam, collect, report, rig, submit, election, commission, demand, fresh, vote, commission, already, reject, plea, islam, journalist, arrest, another, run, local, government, official, file, case, publishing, false, election, law, could, use, stifle, hussain, mollah, rashidul, islam, publish, report, vote, cast, khulna, region, total, number, register, voter, therethey, accuse, digital, security, act, enact, mollah, pick, police, islam, run, police, saidthis, false, make, make, election, result, look, police, report, saidthe, deadly, clash, vote, marked, end, violent, campaign, opposition, worker, face, arbitrary, arrest, candidate, attack, rule, party, activist, rule, party, deny, share, physically, assault, manhandle, polling, station, saad, hammadi, amnesty, regional, campaigner, south, asia, call, impartial, probe, incident, whose, father, state, founder, mujibur, rahman, coup, alternate, power, nearly, decade, main, rival, bnp, leader, zia, khaleda, khaleda, jail, year, report, enamul, haque, khulna, serajul, quadir, dhaka, edit, peter, graffour"
"police, treat, manchester, stab, attack, terrorist","January 1, 2019","police, confirm, treat, stab, attack, injure, people, victoria, train, station, terrorist, search, address, cheetham, hill, area, police, lead, expert, keep, mindwe, treat, terrorist, chief, constable, ian, hopkins, tell, elisabeth, oleary, edit, alison"
"navy, pursuing, block, buy, aircraft, carrier, senator","January 1, 2019","washington, navy, inform, lawmaker, intent, pursue, block, purchase, fordclass, aircraft, carrier, senator, tim, kaines, office, step, official, could, save, dollar, try, expand, size, fleetthe, decision, come, month, navy, express, interest, block, buy, ask, huntington, ingalls, industry, detail, price, cost, aircraft, carrier, consider, double, order, expensive, ship, fleet, bid, save, moneythe, navy, first, fordclass, aircraft, carrier, uss, gerald, ford, year, schedule, dollar, budget, ford, cost, billionthe, navy, would, spend, pound, total, build, first, ship, ford, class, huntington, ingalls, chief, executive, mike, petter, multiship, purchase, best, way, reduce, costskaine, virginia, member, senate, arm, service, committee, block, buy, would, save, provide, stability, hampton, roads, community, smart, move, save, taxpayer, dollar, help, ensure, shipyard, maintain, skilled, workforce, get, job, do, navy, release, force, structure, goal, call, ship, fleet, previously, goal, ship, actual, size, navy, generally, ship, accord, research, servicea, ship, fleet, would, include, aircraft, carrier, previous, goal, united, state, currently, operate, aircraft, carrier, several, time, david, alexander, edit, leslie, adlerour"
"iran, guard, plan, upgrade, speed, boat, stealth, technology","January 1, 2019","london, iran, guard, plan, upgrade, speed, boat, gulf, stealth, technology, missile, launcher, tension, rise, tehran, washington, vital, oil, shipping, long, absence, aircraft, carrier, region, us, john, stennis, enter, gulf, last, shadow, guard, speed, boatsthere, periodic, guard, vessel, military, gulf, although, number, incident, drop, recent, monthswe, try, increase, agility, guard, speed, boat, equip, stealth, technology, facilitate, operation, alireza, tangsiri, guard, navy, chief, quote, state, agency, also, speed, boat, equip, missile, speed, reach, knotshe, elaborate, whether, iran, already, master, still, study, phaseiran, develop, stealth, technology, fighter, jet, vessels, prototype, unveiled, recent, year, mostly, meet, derision, defense, expertsthe, guard, last, launched, war, game, gulf, third, world, seaborne, oil, pass, warn, force, ready, respond, hostile, actionin, indirect, threat, saudi, arabia, ally, region, head, iranian, arm, force, warn, iranian, force, might, also, target, gulf, nation, invited, regional, enemy, know, alongside, pacifist, doctrine, iran, powerful, military, force, ready, protect, iran, integrity, also, hold, country, propose, presence, major, general, mohammad, bagheri, quote, far, agencya, usiranian, war, word, escalate, president, take, washington, world, power, nuclear, deal, iran, reimpose, sanction, bank, energy, warn, cannot, sell, oil, due, pressure, regional, country, allow, either, block, strait, hormuz, gulfthe, guard, naval, arm, lack, strong, fleet, however, many, speed, boat, portable, antiship, missile, launcher, lay, bozorgmehr, sharafedin, edit, alison"
"blackwater, founder, launch, fund, invest, car, battery, metal, ft","January 1, 2019","erik, prince, found, private, security, company, blackwater, launch, fund, invest, metal, use, electric, vehicle, battery, tell, financial, timesthe, fund, aim, raise, invest, deposit, metal, cobalt, copper, lithium, largely, africa, asia, tell, fund, would, bring, unexplored, deposit, production, sell, large, mining, company, often, base, company, interested, upstream, prince, want, buy, something, production, leave, gap, ushe, expect, metal, use, car, battery, increase, demand, come, year, global, automotive, industry, ramp, electric, car, sell, blackwater, run, security, logistics, business, call, frontier, service, group, make, natural, carl, odonnell, edit, jonathan, oatisour"
"hong, kong, repression, grim","January 1, 2019","hong, kong, march, hong, kong, demand, full, democracy, even, face, many, see, marked, clampdown, communist, party, local, country, united, state, britain, express, concern, number, incident, undermined, confidence, hong, kongs, freedom, autonomy, rulethese, include, jail, activist, ban, political, party, de, facto, expulsion, western, journalist, bar, democracy, activist, contest, local, year, include, call, restart, stall, democratic, reform, fight, political, repression, back, pass, bad, rule, law, hong, kong, fall, backwards, jimmy, sham, drew, people, revise, earlier, estimate, police, people, street, march, peakthe, former, british, colony, return, rule, country, system, formula, promise, high, degree, autonomy, universal, suffrage, ultimate, aimwhile, clamp, hard, city, fringe, movement, didnt, deter, activist, join, hold, banner, chant, city, split, chinaitem, supporter, take, part, annual, year, hong, kong, supporter, take, part, annual, year, hong, kong, tabchina, considers, hong, kong, part, territory, denounces, threat, national, even, though, movement, garner, much, popular, backing, citythere, continuous, hong, kong, movement, movement, grow, strong, strong, baggio, leung, leader, several, member, harass, purported, triad, gangster, marchlast, move, hong, kong, banned, political, group, hong, kong, national, party, stance, national, security, groundsa, western, journalist, victor, mallet, also, expel, hong, kong, soon, hosted, talk, press, club, head, national, visa, denial, government, far, refuse, explain, criticized, foreign, chamber, protester, carry, wanted, poster, hong, kongs, top, legal, official, theresa, cheng, decision, drop, corruption, hong, kongs, former, probeijing, leader, leung, chunying, afraid, pressure, continue, joseph, cheng, veteran, campaigner, retire, professor, raise, money, justice, fund, activist, face, hefty, legal, fee, several, trialswere, go, face, difficult, year, must, stand, firm, unlike, mainland, least, still, jam, pomfret, donny, kwok, edit, kim, coghill, kirsten, donovanour"
"sri, lankan, rupee, end, slightly, firm","January 1, 2019","colombo, sri, lankan, rupee, close, slightly, firm, trade, thin, many, foreign, currency, trader, holiday, continued, outflow, foreign, fund, mainly, government, bond, due, political, dent, investor, sentiment, currency, fell, percent, make, bad, perform, currency, asia, heavy, foreign, outflows, government, security, weigh, local, currency, rupee, hit, alltime, low, dollar, hitting, record, low, seventh, straight, session, surpass, previous, record, mark, prior, session, refinitiv, eikon, data, show, weakened, percent, sri, lankas, political, crisis, begin, lose, percent, rupee, end, per, dollar, compare, previous, session, gain, early, trade, market, source, president, sirisena, appoint, cabinet, minister, rival, party, forced, reinstate, ranil, prime, minister, day, sack, political, crisis, expect, ease, though, uneasy, relation, men, could, cause, fiscal, problem, analyst, parliament, approve, rupee, meet, first, month, avert, government, shutdown, foreign, investor, net, seller, rupee, worth, stock, political, crisis, begin, bond, market, saw, outflow, rupee, central, bank, data, show, last, rupee, outflow, stock, government, security, suffer, net, rupee, outflows, late, data, bourse, central, bank, show, colombo, stock, market, close, main, index, fell, percent, credit, agency, fitch, sp, downgrade, sri, lankas, sovereign, rating, early, cite, risk, uncertain, policy, outlook, report, global, market, click, report, major, currency, click, sri, lankan, rupeessign, ranga, sirilal, shihar, aneezour"
"pakistan, look, fix, batting, woe, hostile, south, africa","January 1, 2019","cape, town, pakistan, struggle, batsman, must, find, way, handle, south, africas, potent, pace, attack, claw, way, back, threematch, series, second, test, start, likely, lively, newlands, wicket, africa, claim, first, test, pretoria, wicket, session, bowl, attack, find, condition, like, seam, movement, time, steep, bouncebut, host, ability, eke, run, wicket, prove, difference, pakistan, frail, bat, lineup, wither, face, quality, fast, coach, mickey, arthur, give, batsman, dress, second, inning, collapse, saw, lose, wicket, run, take, word, turn, tour, newlands, wicket, similar, pretoriawe, struggle, second, inning, get, good, start, whenever, wicket, fall, able, take, control, match, pakistan, captain, sarfraz, ahmed, told, reporter, record, pair, duck, first, testthis, happen, year, hamilton, long, need, realise, weve, make, mistake, everyones, include, coaching, staffahmed, backed, technique, player, mental, game, spiteful, wicket, south, africa, quality, home, attackwe, lose, many, wicket, play, loose, shot, get, pressure, quickly, become, mentally, second, fourth, fail, cross, last, test, inning, collapse, chase, victory, target, zealand, abu, dhabi, cause, second, test, help, expect, return, injury, south, african, seamer, vernon, philander, wicket, average, come, back, side, wicket, hero, first, test, duanne, olivier, return, also, bolster, bat, lineup, role, genuine, option, host, would, drop, spinner, keshav, maharaj, though, would, something, risk, parttime, dean, elgar, newlands, known, take, turn, later, pick, newlands, record, speak, definitely, back, side, south, africa, captain, faf, du, plessis, headache, leave, honest, difficult, leave, guy, olivier, take, wicket, likely, see, return, premier, seamer, mohammad, abbas, miss, first, test, shoulder, injury, tip, ready, cape, townhe, make, remarkable, start, test, career, wicket, match, average, south, africa, previous, test, pakistan, newlands, lose, time, matches, side, nick, edit, sudipto, gangulyour"
"nz, fast, bowler, jamieson, take, thirdbest, figure, cricket","January 1, 2019","wellington, kyle, jamieson, record, thirdbest, figure, twenty, cricket, world, brilliant, display, fast, bowl, take, wicket, run, yearold, finish, figure, destroy, aucklands, bat, lineup, super, smash, clash, eden, park, outer, capture, wicket, england, james, vince, sean, solia, mark, chapman, first, spell, return, dismiss, ronnie, hira, mitchell, ben, lister, ball, auckland, bowl, leftarm, spinner, arul, suppiah, take, world, best, somerset, glamorgan, bangladesh, allrounder, shakib, alhasan, capture, barbados, trident, trinidad, tobago, red, steel, report, greg, stutchbury, edit, sudipto, gangulyour"
"thai, king, crown, ceremony","January 1, 2019","bangkok, thailand, king, officially, crown, elaborate, ceremony, late, ruler, monarchy, royal, palace, maha, serve, shortly, father, die, follow, reignhis, majesty, deem, fit, hold, coronation, ceremony, per, royal, tradition, good, fortune, nation, kingdom, enjoy, hopeful, people, palace, statement, saidin, threeday, coronation, king, officially, crown, procession, hold, king, meet, public, foreign, palace, also, know, title, king, rama, become, thailand, monarch, year, ago, follow, death, revere, father, king, bhumibol, adulyadej, official, coronation, delay, yearlong, mourning, period, bhumibol, cremate, grand, royal, funeral, bhumibol, revere, thais, decade, throne, deep, monarchy, military, help, facilitate, smooth, royal, transition, follow, deathsince, overseen, sweeping, change, royal, affair, include, run, palace, finance, formerly, manage, monarchy, king, remain, supremely, regarded, spiritual, protector, people, culturethe, kingdom, due, hold, election, current, election, timeline, mean, coronation, likely, take, place, government, formedthe, election, mean, restore, democracy, military, coup, oust, elect, prime, minister, though, change, interim, ensure, military, retain, great, deal, panu, wongchaum, patpicha, panarat, edit, stephen, coates, kim, coghill, neil, fullickour"
"australian, home, price, mark, worst","January 1, 2019","sydney, australian, home, price, skid, nearly, percent, mark, bad, lead, tight, credit, condition, wan, investor, interest, analyst, expect, weakness, persist, value, country, fell, th, rate, decline, sydney, melbourne, large, market, worsen, accord, property, consultant, index, home, price, nationally, drop, percent, tumble, percent, quarter, worst, quarterly, decline, combine, capital, city, fell, percent, percent, sydney, bad, perform, capital, city, price, percent, center, fare, good, price, outside, city, stay, almost, flataccess, credit, factor, weigh, housing, market, condition, tim, lawless, head, research, regulator, clamp, risky, lending, bank, loan, raft, scandal, amid, highlevel, inquiry, add, air, australias, prudential, regulator, ease, lending, lawless, access, finance, likely, remain, barrier, housing, market, condition, lender, riskaverse, backdrop, fall, dwell, value, high, household, debt, rise, supply, heighten, regulatory, focus, follow, banking, royal, commission, inquiry, saidthe, slowdown, great, sydney, home, price, stumble, nearly, percent, though, melbourne, catch, annual, drop, melbourne, comprise, percent, australia, housing, market, value, percent, market, condition, also, generally, subdue, weekly, rent, unchanged, combine, capital, city, fall, house, price, however, boost, rental, yield, sydney, melbourne, swati, pandey, edit, paul, simaoour"
"invite, leader, border, security, briefing, source","January 1, 2019","washington, president, invite, leader, bipartisan, brief, border, security, white, house, partial, government, shutdown, trump, demand, wall, usmexico, border, second, weekthe, president, brief, invitation, send, top, party, leader, house, senate, accord, source, familiar, planit, unclear, whether, leader, would, attend, brief, would, hold, source, white, house, respond, request, comment, briefing, house, senate, reconvene, briefly, mark, last, congress, sign, workable, plan, end, shutdown, quarter, federal, government, affect, roughly, workerson, democrat, take, control, house, plan, approve, twopart, spending, package, meant, end, shutdown, prospect, grim, senate, previously, approve, similar, measure, floor, committee, fall, line, trump, wall, funding, demandsthe, set, stage, first, major, battle, congress, house, democrat, lead, nancy, pelosi, republican, senate, majority, leader, mitch, trigger, shutdown, start, insist, fund, usmexico, border, wall, part, spending, call, wall, crucial, curb, illegal, echo, campaign, pledgethe, democrat, twopart, package, include, bill, fund, department, homeland, security, current, level, provide, border, fence, border, security, item, include, technology, camerasthe, second, part, package, would, fund, federal, agency, unfunded, justice, commerce, sept, house, democrats, measure, contain, want, mcconnell, senate, approve, spending, measure, support, trumpsign, amanda, becker, edit, diane, craftour"
"hike, plan, raise, fund, economic, time","January 1, 2019","source, link, bitlybudxc, note, verify, story, vouch"
"wall, street, rise, limp, finish, line, turbulent","December 31, 2018","york, wall, street, advance, lowvolume, trading, reveler, gather, ring, mark, end, bad, stock, height, financial, crisiswall, street, enter, correction, territory, late, challenge, much, tariff, jitter, rise, interest, rate, fear, corporate, get, complacent, thomas, martin, senior, portfolio, manager, globalt, atlanta, people, position, lack, volatility, change, trade, concern, interest, rate, people, start, start, try, equity, sp, saw, bad, great, depression, nasdaq, confirm, bear, market, percent, high, percent, begin, monthin, investor, hope, removal, question, mark, act, headwind, include, uschina, trade, path, federal, reserve, interest, rate, hike, slow, corporate, growth, economic, fallout, upcoming, departure, britain, european, union, brexit, concernsas, get, underway, investor, look, corporate, earnings, happen, trade, body, language, feed, martin, addedon, renew, hope, resolution, uschina, trade, dispute, provide, glimmer, optimism, president, indicate, twitter, progress, make, potential, settlement, trade, tension, united, state, plague, stock, market, much, yearfile, photo, trader, work, floor, york, stock, exchange, nyse, york, tabtrading, volume, relatively, light, owe, holiday, federal, government, shutdown, enter, th, technology, stock, lead, boeing, coand, inc, provide, big, boost, sp, mondaythe, dow, jones, industrial, average, rise, point, percent, sp, gain, point, percent, nasdaq, composite, add, point, percent, major, sector, sp, end, session, positive, territory, healthcare, utility, end, material, service, financials, big, percentage, loser, percent, percent, begin, yearthe, percent, drop, energy, stock, largely, crude, percent, early, issue, decline, nyse, ratio, nasdaq, ratio, favor, sp, post, high, low, nasdaq, composite, record, high, lowsvolume, exchange, share, compare, average, full, session, last, trading, stephen, culp, edit, jonathan, oatisour"
"goalie, lundqvist, ranger, stifle, blue","January 1, 2019","corrects, number, lundqvist, save, lead, corrects, number, lundqvist, rdperiod, save, edits, henrik, lundqvist, make, save, york, special, team, battle, ranger, defeat, host, st, louis, blue, dominant, goal, stop, shot, frantic, third, period, pick, rd, career, win, terry, sawchuk, sixth, nhls, alltime, listmats, zuccarello, scored, powerplay, goal, ranger, perfect, penalty, killboo, nieves, also, tally, ranger, second, straight, earn, point, last, gamesryan, oreilly, score, blue, drop, backtoback, game, win, ninegoalie, jake, allen, start, th, st, louis, make, save, give, goal, pull, saturdays, home, loss, defenseman, kevin, played, part, season, blue, return, action, miss, game, play, st, louis, oppose, player, first, trade, washington, blue, welcome, back, fourthline, leave, wing, robby, fabbri, miss, game, fabbri, separate, louis, tally, first, oreilly, score, club, fourth, shot, finish, giveandgo, exchange, david, perron, blast, teamhigh, th, goal, leave, circle, fail, score, power, play, york, tie, zuccarello, score, third, man, advantage, shot, strike, allen, pad, trundle, second, left, backhand, shot, quick, line, change, ranger, puck, struck, defender, go, york, first, lead, second, period, center, second, goal, season, prove, louis, pull, goalie, remain, third, period, get, extra, attacker, lundqvist, brick, wall, multiple, scrum, blue, fail, tie, gamefield, level, mediaour"
"rbi, allow, bank, default, small, business, loan","January 1, 2019","mumbai, reserve, bank, india, rbi, allow, bank, loan, small, medium, default, begin, rbi, circular, tuesdaythe, decision, take, central, bank, board, meet, support, small, medium, size, company, struggle, repay, loansmany, firm, hit, economic, impact, prime, minister, narendra, modis, ban, exist, high, bank, note, late, good, service, tax, middle, relief, follow, persistent, pressure, central, bank, relax, loan, policy, modi, aim, boost, small, business, ahead, general, election, hold, yearthe, rbi, also, ask, bank, make, provision, additional, percent, loan, policy, direct, lender, implement, scheme, end, policy, applies, loan, exceed, rupee, rbi, suvashree, choudhury, edit, martin, howellour"
"india, commercial, paper, deal, ftracjan","January 1, 2019","follow, detail, deal, indian, commercial, paper, report, clearcorp, ftrac, platform, isin, maturity, wtg, avg, wtg, avg, trade, last, traded, date, price, yld, trade, value, price, yield, ineefp, pnb, housing, fin, inefec, nabard, inebdw, gic, housing, fin, inelih, reliance, jio, info, ineffs, adani, port, inelih, reliance, jio, info, ineadt, chennai, petroleum, ineate, hdfc, ineabi, reliance, industry, djan, ineffr, adani, port, ineatg, hdfc, ineaph, vedanta, inep, future, retail, inennf, tata, cap, fin, serv, inefdq, nabard, ineler, iifl, home, fin, ineler, iifl, home, fin, ineaqg, ineatv, hdfc, inekgz, axis, fin, ineljc, reliance, jio, info, ineb, tv, motor, com, ineaag, tata, power, com, ineb, rec, ineabm, ashok, leyland, inep, suraksha, realty, ineasf, hdfc, inelje, reliance, jio, info, ineb, tv, motor, comp, inedsh, redington, india, ineacf, shriram, trans, ineaju, indian, oil, corp, ineahg, berger, paint, india, inedgy, godrej, agrovet, ineafb, coromandel, int, ineemd, sbi, card, pay, ineasi, hdfc, ineaoz, bajaj, fin, inedhb, godrej, agrovet, inehj, aditya, birla, fin, inee, ntpc, inea, reliance, industry, ineaox, bajaj, fin, ineljj, reliance, jio, info, inecfd, bharat, aluminium, inee, ntpc, ineabq, reliance, industry, ineabq, reliance, industry, ineivc, indiabulls, housing, ineo, reliance, retail, ineobw, aditya, birla, fash, inee, ntpc, inem, shapoorji, pal, inee, ntpc, ineb, rec, inenpj, tata, cap, fin, serv, ineauh, hdfc, ineauj, hdfc, crore, note, ftrac, reporting, platform, cp, shift, cdsil, wef, reporting, procedure, remain, cp, focus, page, primary, market, cp, deal, fimmda, report, platform, cp, deal, page, fimmda, reporting, platform, cp, deal, rics, contact, mumbai, rate, reporting, unit, uphereour"
