"title","date","body"
"uaes, fujairah, oil, inventory, data, end","January 2, 2019","singapore, fujairah, oil, industry, zone, publish, via, industry, service, sp, global, platts, follow, weekly, inventory, data, oil, product, end, volume, barrel, figure, bracket, represent, volume, change, prior, calculate, light, middle, residual, fuel, sept, sept, sept, sept, fujairah, oil, industry, zone, host, middle, east, large, commercial, storage, capacity, refine, product, data, view, reporting, roslan, uphereour"
"sterling, slide, dollar, rebound, brexit, concern, weigh","January 2, 2019","london, sterling, fell, percent, reversing, gain, make, earlier, strong, factory, survey, fail, dispel, grow, concern, brexit, resurgent, weak, start, rebound, dollar, send, currency, develop, emerge, market, reel, volatile, sterling, large, fallerthe, pound, fell, percent, low, weak, british, currency, rally, percent, intraday, trading, euro, sterling, weaken, percent, pencevery, little, move, brexit, saga, holiday, period, parliament, recess, last, week, return, next, gbp, look, basket, usd, eur, remain, middle, narrow, range, hold, rbcs, chief, currency, strategist, adam, cole, write, note, minister, theresa, struggle, overcome, deep, opposition, brexit, plan, party, raise, risk, transition, period, provide, ease, britain, membership, european, unionmay, postpone, vote, divorce, deal, admit, parliament, would, reject, mp, set, discuss, agreement, vote, start, survey, show, british, factory, ramp, prepared, possible, border, delay, britain, leave, eudespite, increase, demand, confidence, remain, weak, everyone, know, increase, supply, raw, material, part, finish, good, eventually, run, supply, chain, disruption, hurt, business, later, line, jeremy, chief, economist, brexit, keep, currency, trader, edge, imply, volatility, gauge, pound, measure, shortterm, currency, elevatedin, future, market, trader, step, bearish, bet, sterling, take, net, short, bet, twomonth, high, reporting, tommy, wilkes, edit, robin, pomeroyour"
"landslide, kill, least, indonesia, disaster","January 2, 2019","jakarta, indonesian, rescue, team, search, victim, series, landslide, kill, least, people, year, official, natural, disaster, kill, least, people, miss, landslide, heavy, rain, bury, house, sukabumi, regency, west, javaloose, soil, danger, rescue, team, work, field, disaster, mitigation, agency, spokesman, sutopo, purwo, rain, force, rescuer, suspend, search, suffer, deadly, decade, series, tsunamis, different, region, kill, bernadette, christina, munthe, write, kanupriya, kapoor, edit, nick, macfieour"
"tsx, future, oil, price, slip","January 2, 2019","future, point, low, opening, canada, main, stock, index, economic, worry, rise, production, hurt, oil, future, sptsx, index, percent, etoil, price, come, pressure, surge, output, major, opec, nonopec, producer, due, concern, economic, slowdown, could, weaken, demandihs, markit, canada, purchasing, manager, index, read, due, etthe, toronto, stock, exchange, sptsx, end, high, point, percent, mondaydow, jones, industrial, average, emini, future, percent, et, sp, emini, future, percent, nasdaq, emini, future, percenttop, storiesthe, social, medium, account, message, apps, canadian, detain, active, arrest, suspicion, engage, activity, endanger, china, gold, miner, zijin, mining, group, plan, sell, yuan, worth, share, shanghai, help, fund, purchase, canada, nevsun, resource, ltdanalyst, research, national, railway, cibc, cut, price, target, ccargojet, inc, cibc, cut, price, target, clinamar, corp, cibc, cut, price, target, etgold, future, pctus, crude, pctbrent, crude, pctus, economic, data, due, markit, pmi, final, prior, texas, service, sector, outlook, prior, dallas, fed, service, revenues, prior, canadian, market, click, codestsx, market, dollar, bond, global, stock, poll, market, directory, csign, debanjan, bose, edit, shinjini, ganguliour"
"arm, men, kill, civilian, part, mali, hit, ethnic, violence","January 2, 2019","bamako, arm, men, kill, fulani, civilian, central, mali, ethnic, violence, cost, live, last, government, fulani, rival, compound, already, dire, security, situation, mali, semiarid, desert, region, use, base, jihadist, group, tie, al, qaeda, islamic, statethe, government, statement, attacker, dress, donzo, hunter, raid, village, koulogon, central, mopti, region, victim, guindo, mayor, bankass, near, town, attack, occur, first, call, prayer, target, fulani, part, koulogonhe, another, part, koulogon, mostly, inhabit, dogon, ethnic, group, donzos, link, less, km, half, mile, awaymali, turmoil, tuareg, rebel, loosely, allied, islamist, take, north, prompt, french, force, intervene, push, back, follow, regain, foothold, north, centre, tap, ethnic, rivalry, recruit, tiemoko, diallo, write, aaron, ross, edit, kevin, liffeyour"
"pochettino, happy, spur, show, fixture, congestion","January 2, 2019","tottenham, hotspur, manager, mauricio, pochettino, praise, squad, resilience, follow, third, victory, premier, league, game, busy, festive, period, north, london, sidespurs, move, second, league, table, point, leader, liverpool, beat, everton, cardiff, city, go, wanderer, homeus, everton, team, suffer, little, bit, much, rest, game, think, player, effort, pochettino, tell, sky, sport, win, cardiff, tuesdayi, day, play, game, tough, chose, focus, title, race, stress, need, second, half, premier, league, tough, want, good, position, must, consistent, whole, season, cant, afford, lose, point, like, wolf, saidspurs, however, might, end, current, fixture, second, place, manchester, city, point, set, host, liverpool, thursdayit, game, course, go, enjoy, football, argentine, manager, addedboth, team, think, best, england, go, play, fa, cup, need, ready, busy, play, league, side, tranmere, third, fa, cup, prenton, park, follow, first, leg, league, cup, semifinal, chelsea, rohith, nair, bengaluru, edit, sudipto, gangulyour"
"death, toll, rise, apartment, block, collapse","January 2, 2019","moscow, eighteen, dead, body, recover, debris, apartment, block, partially, collapse, apparent, explosion, people, remain, regional, ministry, tell, blast, initially, think, cause, gas, leak, damage, apartment, storey, build, industrial, city, early, hour, km, mile, east, moscowa, baby, boy, find, alive, hour, spend, freeze, cold, rubble, emergency, official, describe, miraclein, separate, incident, late, people, die, street, building, collapse, minibus, become, engulfed, flame, tass, agency, report, cite, local, government, footage, purport, show, incident, post, social, medium, site, show, burn, vehicle, bang, hear, police, spokesman, decline, comment, contact, phonethe, reason, collapse, apartment, block, still, committee, probe, major, cry, websiteit, trace, explosive, material, find, far, site, initial, report, put, possible, gas, leak, several, similar, incident, country, recent, year, due, age, poor, safety, gas, usagesign, soldatkin, edit, william, macleanour"
"gold, dip, renew, risk, appetite, lifts, asian, stock","January 2, 2019","bengaluru, gold, price, edge, low, asian, equity, support, first, gain, stock, future, point, risk, spot, gold, fell, percent, per, ounce, gmt, metal, far, mondays, sixmonth, high, gold, future, little, change, per, ounce, dollar, index, track, greenback, basket, major, currency, marginally, low, president, invite, republican, democratic, leader, border, security, brief, white, house, federal, government, remain, partially, shut, demand, fund, wall, usmexico, border, asian, share, creep, cautiously, high, first, trading, early, gain, stock, future, speak, risk, appetite, history, show, best, choice, united, state, president, xi, jinping, tell, message, mark, year, diplomatic, relation, north, korean, leader, kim, jong, un, ready, meet, anytime, achieve, common, goal, korean, peninsula, warn, take, path, sanction, pressure, country, continue, british, prime, minister, theresa, urge, lawmaker, back, brexit, deal, promising, would, allow, country, turn, corner, let, government, focus, solve, domestic, problem, housing, skill, shortage, mint, sale, eagle, gold, silver, coin, drop, low, year, mint, data, show, investor, favor, asset, global, stock, bond, market, volatility, late, yearsign, sathya, narayanan, bengaluru, edit, richard, pullinour"
"germany, charge, man, suspect, racist, car, attack, attempt, murder","January 2, 2019","berlin, german, charge, man, arrest, year, attempt, murder, rammed, car, crowd, reveller, separate, attack, police, yearold, german, detain, drive, mercedes, people, western, city, bottrop, essen, suspect, hate, crime, foreigner, city, munster, judge, approve, request, formally, charge, multiple, count, attempt, murderall, people, injured, syria, eighth, man, suffer, leg, injury, identify, yearold, germanturk, essena, syrian, woman, suffer, injury, recover, hospital, emergency, operation, police, saidthe, suspect, make, racist, remark, police, officer, detain, essen, police, joseph, nasr, edit, richard"
"plan, km, rail, track, amid, push","January 2, 2019","shanghai, plan, invest, kilometer, mile, worth, railway, line, percent, jump, length, track, lay, last, national, railway, operator, amid, wider, push, boost, spendingat, least, kilometer, target, highspeed, rail, railway, corp, post, official, wechat, railway, corp, invested, kilometer, worth, rail, line, last, highspeed, railthe, country, invest, yuan, rail, fix, asset, company, add, set, initial, budget, yuan, last, yearit, give, investment, target, spend, dollar, railway, network, decade, sign, start, slow, network, grow, beijing, begin, crack, local, government, debt, investment, target, low, however, government, begin, speed, investment, spending, second, half, last, bid, spur, growth, country, slow, economy, approve, railway, project, revive, suspended, brenda, goh, edit, sherry"
"china, didi, launch, credit, service, push","January 2, 2019","beijing, china, didi, chuxing, launch, suite, financial, product, include, lending, continue, diversify, outside, business, follow, safety, move, come, heels, announce, aim, improve, safety, platform, well, operate, product, test, city, introduce, nationwide, firm, include, wealth, management, credit, lending, critical, illness, aim, shortterm, temporary, workersthe, product, bring, didi, investor, alibaba, group, hold, ltdand, technology, peer, tencent, holding, also, come, rival, include, firm, make, renew, push, market, dominate, didi, aim, tap, unmet, demand, bring, regulatory, changedidi, facing, rule, increase, scrutiny, series, safety, incident, include, murder, female, didi, passenger, separate, casesas, part, subsequent, national, audit, firm, ministry, transport, didi, pledge, tighten, driver, firm, already, short, driver, major, city, curb, number, eligible, whose, backer, include, peer, uber, inc, uberul, apple, incand, japan, softbank, group, corp, domestic, business, expands, globally, service, south, cate, cadell, edit, cushingour"
"oil, price, rise, pct, amid, volatile","January 2, 2019","singapore, oil, begin, positive, territory, although, general, outlook, weak, amid, soar, crude, supply, concern, economic, texas, wti, spot, crude, oil, future, trade, per, barrel, gmt, cent, percent, final, close, brent, crude, future, yet, tradeoil, price, end, loss, first, desultory, fourth, quarter, saw, buyer, flee, market, grow, worry, supply, glut, mixed, signal, relate, renewed, sanction, iranoil, price, register, first, yearly, decline, year, fear, slow, global, economy, concern, ongoing, supply, glut, adeel, minhas, consultant, australia, rivkin, west, texas, crude, wti, future, slump, nearly, percent, brent, tumble, nearly, percentthe, outlook, riddle, analyst, include, uschina, trade, concern, brexit, well, political, conflict, middle, easta, poll, show, oil, price, expect, trade, per, barrel, surplus, production, much, united, state, slow, economic, growth, undermine, effort, lead, petroleum, export, country, opec, cut, supply, prop, pricessign, henning, gloystein, edit, richard, pullinour"
"protest, india, woman, defy, ancient, ban, visit, hindu, temple","January 2, 2019","kochinew, delhi, woman, defy, ban, enter, hindu, temple, indian, state, kerala, spark, protest, call, strike, hindu, group, outrage, fire, teargas, used, water, cannon, disperse, large, crowd, protester, state, capital, television, channel, protest, several, city, state, medium, supreme, court, order, lifting, ban, woman, girl, age, enter, sabarimala, temple, draw, yearbut, temple, refuse, abide, rule, subsequent, attempt, woman, visit, blocked, kerala, state, government, run, leftwing, party, seek, allow, woman, temple, position, drawn, criticism, indias, main, political, party, include, prime, minister, narendra, modis, hindu, bharatiya, janata, party, bjpthe, uproar, put, issue, religion, highly, india, squarely, political, agenda, month, general, election, due, maythe, raise, call, umbrella, group, rightwing, hindu, group, kerala, sabarimala, karma, samithi, support, bjp, statewide, protest, strike, bjp, call, protester, kerala, state, president, bjp, describe, womens, visit, conspiracy, atheist, ruler, destroy, hindu, templesthe, partys, state, president, sreedharan, pillai, tell, tv, channel, bjp, would, support, struggle, faith, devotee, come, forward, protest, main, opposition, congress, party, state, rare, alignment, main, rival, power, national, level, bjp, also, call, treachery, government, pay, price, violation, custom, sudhakaran, kerala, pradesh, congress, committee, hindu, group, believe, woman, age, would, defile, temple, inner, shrine, ban, impose, female, age, item, protester, shout, slogan, take, part, rally, call, various, hindu, woman, enter, sabarimala, temple, kochi, india, shout, slogan, take, part, rally, call, various, hindu, woman, enter, sabarimala, temple, kochi, india, vpurchase, tabnews, channel, report, chief, priest, briefly, shut, temple, ritual, woman, medium, report, woman, identify, police, bindu, ammini, kanaka, durga, try, go, later, approach, police, help, officer, saidthere, elaborate, come, temple, early, officer, decline, identified, fearing, reprisal, darkness, give, guard, home, woman, leave, temple, prepared, let, woman, enter, temple, saidwall, womena, video, police, official, post, online, ani, show, woman, temple, head, tell, television, channel, stealthy, trek, temple, middle, nightwe, reach, pampa, main, entry, point, temple, seek, police, protection, walk, hour, enter, temple, darshan, woman, refer, ritual, standing, front, temple, hindu, imagethe, state, government, defend, decision, protect, woman, go, temple, matter, civil, rightsi, earlier, make, clear, government, provide, protection, woman, come, forward, enter, temple, kerala, chief, minister, pinarayi, tell, conference, woman, face, clear, manage, avoid, devotee, guard, templeon, state, government, back, protest, woman, form, km, mile, human, chain, term, womens, wall, support, gender, equality, access, templemodi, interview, ani, indicate, felt, temple, issue, religious, tradition, gender, temple, men, bar, jose, devasia, edit, martin, howell, robert, birselour"
"sfio, want, market, regulator, sebi, put, fit, proper, test, business, line","January 2, 2019","source, link, bitlybsdti, note, verify, story, vouch"
"engine, maker, cannot, escape, mln, liability, fatal, plane, crash, rd, circ","January 2, 2019","federal, appeal, court, upheld, jury, verdict, motor, inc, aircraft, engine, fail, fatal, plane, crasha, unanimous, threejudge, panel, rd, circuit, court, appeal, reject, argument, federal, law, protect, aircraft, component, liability, shield, lawsuit, bring, crash, victim, read, full, story, westlaw, insight, click, uphereour"
