date,cluster,sentiment_score,positive_score,negative_score,neutral_score,num_samples
2021-01-01,0,0.22701285167290183,0.22763758349392238,0.0006247318210205558,0.771737689698664,63
2021-01-01,1,0.3516950688828156,0.3928889102384906,0.04119384135567499,0.5659172387535224,26
2021-01-02,0,0.1018379384296671,0.1044201599563867,0.0025822215267196137,0.8929976046722579,76
2021-01-02,1,0.1440135398965392,0.1783033770789748,0.034289837182435626,0.7874067864491682,65
2021-01-03,0,0.15199219795420005,0.16972479789340328,0.01773259993920323,0.8125426044530868,87
2021-01-03,1,0.27064277165520184,0.2890743891346649,0.018431617479463015,0.6924939948667568,69
2021-01-04,0,0.31938410647842924,0.3543059583208361,0.03492185184240685,0.6107721945307496,38
2021-01-04,1,0.38560110156593863,0.40678118008347686,0.02118007851753822,0.5720387337786369,31
2021-01-05,0,0.19296217908974508,0.23740614184595826,0.04444396275621318,0.7181498905724696,199
2021-01-05,1,0.3296244062419128,0.3367481459429832,0.007123739701070362,0.6561281087635211,36
2021-01-06,0,0.25449291754868525,0.25610188848488524,0.0016089709362000172,0.7422891523318867,45
2021-01-06,1,0.19168962027239272,0.22905244354976328,0.03736282327737056,0.7335847252598957,17
2021-01-07,0,0.21076049772340005,0.260226069797148,0.04946557207374796,0.6903083546565202,278
2021-01-07,1,0.20905355077344367,0.2437682313084141,0.034714680534970434,0.7215170895276073,72
2021-01-08,0,0.2465875695078299,0.2653193842006639,0.018731814692834012,0.7159488031350335,191
2021-01-08,1,0.29726285766254656,0.2991774897907981,0.0019146321282515239,0.6989078847221464,42
2021-01-09,0,0.04098635305956873,0.11129409669948434,0.07030774363991561,0.8183981603619191,47
2021-01-09,1,0.24146796328098963,0.24265822468881365,0.0011902614078240145,0.7561515380267619,21
2021-01-10,0,0.21077102514541393,0.2192014973765664,0.008430472231152487,0.7723680105742178,41
2021-01-10,1,0.25260088723979873,0.27901951942190534,0.026418632182106612,0.6945618434276464,39
2021-01-11,0,0.2977971030573486,0.30707596115205665,0.009278858094708067,0.6836451848747599,85
2021-01-11,1,0.3815482566691054,0.38388630710599614,0.0023380504368907262,0.613775629026771,32
2021-01-12,0,0.17234932626945773,0.20573759179113385,0.03338826552167611,0.7608741464175033,81
2021-01-12,1,-0.0020184304863422875,0.08925936255255609,0.09127779303889838,0.8194628688921842,11
2021-01-13,0,0.26146629776700736,0.2890887096323218,0.027622411865314455,0.6832888804418749,206
2021-01-13,1,0.33470255959238593,0.3518765778538566,0.0171740182614707,0.6309494101225505,42
2021-01-14,0,0.17534261495172,0.2335467599562732,0.0582041450045532,0.7082490933826499,158
2021-01-14,1,0.32674389901184786,0.33382328867505434,0.007079389663206464,0.6590973244792726,29
2021-01-15,0,0.1911023244778613,0.24923650319822305,0.05813417872036176,0.6926293188617567,106
2021-01-15,1,0.20416267480953224,0.2142724029560822,0.01010972814654996,0.7756178750458664,17
2021-01-16,0,0.14970731766648754,0.15461032311103576,0.004903005444548227,0.8404866640661411,134
2021-01-16,1,0.2650447387483018,0.29331488215004026,0.028270143401738432,0.6784149794970649,65
2021-01-17,0,0.13742997425850043,0.15570320690706174,0.018273232648561306,0.8260235678161967,104
2021-01-17,1,0.29336914418673665,0.35192787672717696,0.05855873254044029,0.5895133839721352,64
2021-01-18,0,0.17469206343542748,0.19668950909525432,0.02199744565982685,0.7813130434512843,60
2021-01-18,1,0.2823783954267632,0.28560908251464273,0.003230687087879522,0.7111602339460096,18
2021-01-19,0,0.26928329666450246,0.305950292388299,0.036666995723796565,0.6573827190830832,129
2021-01-19,1,0.34358331708434736,0.39783182858734206,0.05424851150299469,0.5479196538495317,19
2021-01-21,0,0.17215757442719987,0.24397159880051253,0.07181402437331268,0.6842143848968025,87
2021-01-21,1,0.16673612441343807,0.1900089502443864,0.023272825830948324,0.786718200315677,21
2021-01-22,0,0.2105204984696982,0.25681661966109687,0.04629612119139868,0.6968872626025027,147
2021-01-22,1,0.32210109416346916,0.3282411177523774,0.0061400235889082335,0.6656188520543016,17
2021-01-23,0,0.10855546352695636,0.19120238079478633,0.08264691726782997,0.7261507078160682,52
2021-01-23,1,0.2526979394890117,0.2625548492708046,0.00985690978179286,0.7275882414359723,37
2021-01-24,0,0.12131491310050374,0.15083208507383153,0.029517171973327795,0.8196507434621456,46
2021-01-24,1,0.37142334653362785,0.4470728000807248,0.07564945354709694,0.47727774227838105,27
2021-01-25,0,0.20134333223685108,0.26227823750016716,0.06093490526331606,0.6767868652872899,73
2021-01-25,1,0.32266662699087717,0.3360971092836455,0.01343048229276834,0.6504724027785974,13
2021-01-26,0,0.24015914028021307,0.3078901478953364,0.06773100761512336,0.6243788424497567,187
2021-01-26,1,0.0339792254810618,0.14222185205539972,0.10824262657433792,0.7495355215258315,20
2021-01-27,0,0.1778422643287702,0.24637059518152085,0.06852833085275065,0.6851010716063235,233
2021-01-27,1,0.22628374096161008,0.28922230316488173,0.06293856220327164,0.6478391327071561,35
2021-01-28,0,0.18748088235339538,0.2548645414917434,0.06738365913834804,0.6777518001304498,145
2021-01-28,1,0.3356168013704655,0.35130376123847284,0.015686959868007347,0.6330092777550362,22
2021-01-29,0,0.2711486566116592,0.3103716997796311,0.03922304316797188,0.6504052637589152,204
2021-01-29,1,0.26269205088443986,0.2698671530149674,0.007175102130527527,0.7229577355570073,43
2021-01-30,0,0.09510800721914597,0.14035218284355103,0.04524417562440506,0.8144036425815185,147
2021-01-30,1,0.26770262781869947,0.28936169746551405,0.021659069646814584,0.6889792402920778,85
